DATA,HORÁRIO,NOME CONDOMÍNIO,UN,HAB/Un,RSU TOTAL (kg),RSU RECICLAVEL (kg),ORGÂNICO,CEP,RECICLABILIDADE,RESÍDUO PREDOMINANTE,QUANTIDADE (toneladas),TAXA DE APROVEITAMENTO (%),CUSTO DA COLETA (R$),TEMPO DE COLETA (minutos)
01-01-2020,14:00,BE URBAN METRÔ BROOKLIN,203,3,609.0,247.254,188.61,04705-000,ALTA,Vidro,0.7,75.0,244.94,30.0
01-01-2020,13:30,PÁTIO MONDRIAN,137,3,411.0,166.866,138.58,04793-100,ALTA,Plástico,0.9,85.0,285.79,35.0
01-01-2020,12:15,CONDOMÍNIO DEZ EUCALIPTO,300,3,900.0,365.4,320.05,06278-080,ALTA,Papelão,0.7,75.0,294.4,25.0
01-01-2020,08:45,PORTAL DAS NAÇÕES,192,3,576.0,233.856,368.78,06223-080,BAIXA,Orgânico,0.6,70.0,254.71,30.0
01-01-2020,10:30,SPAZIO CACHOEIRA DA NASCENTE,288,3,864.0,350.784,593.08,06765-220,BAIXA,Papel,0.9,85.0,433.13,35.0
01-01-2020,12:45,SPAZIO IBIRAPUERA,288,3,864.0,350.784,327.39,04022-020,ALTA,Vidro,0.8,80.0,327.18,30.0
01-01-2020,14:15,SPAZIO INTERLAGOS,288,3,864.0,350.784,399.09,04822-090,ALTA,Plástico,1.1,80.0,359.26,35.0
01-01-2020,13:00,SPAZIO PINHEIROS,288,3,864.0,350.784,327.47,04561-010,BAIXA,Orgânico,0.7,75.0,74.89,30.0
01-01-2020,09:30,RECANTO DOS PÁSSAROS,263,3,789.0,320.334,417.06,03193-005,BAIXA,Papelão,0.8,80.0,400.95,30.0
01-01-2020,11:15,PAÇO DAS FLORES,92,3,276.0,112.056,113.3,04826-190,ALTA,Vidro,0.3,70.0,216.43,25.0
01-01-2020,10:45,PROVENCE APPARTAMENTS,84,3,252.0,102.312,127.52,04543-010,BAIXA,Plástico,0.6,70.0,238.59,30.0
02-01-2020,08:30,FLEX I,537,3,1672.56,678.91,764.06,04538-132,ALTA,Papelão,0.9,82.0,467.85,33.0
02-01-2020,09:15,FLEX III,537,3,1645.27,670.12,920.55,04538-133,BAIXA,Vidro,0.7,73.0,553.3,28.0
02-01-2020,10:00,ALTOS DO BUTANTÃ,432,3,1309.84,531.6,681.84,05359-001,BAIXA,Plástico,1.3,89.0,393.68,38.0
02-01-2020,08:00,EASY LIFE,257,3,775.92,315.41,510.39,06764-170,BAIXA,Orgânico,0.6,53.0,241.83,23.0
02-01-2020,11:30,CONDOMINIO BANDEIRANTES,609,3,1832.18,744.93,953.94,06705-300,BAIXA,Papel,1.1,87.0,393.89,43.0
02-01-2020,14:45,SKY HOUSE,230,3,694.19,282.35,460.22,03141-060,BAIXA,Vidro,0.8,78.0,347.76,35.0
02-01-2020,10:30,PLAZA MAYOR,358,3,1077.79,437.62,515.44,05303-020,ALTA,Plástico,1.2,81.0,369.62,40.0
02-01-2020,13:15,MAXI PIRITUBA,223,3,671.45,273.06,309.17,02936-001,ALTA,Papelão,0.7,76.0,312.54,30.0
02-01-2020,09:45,EDIFICIO JOSÉ MARTINS (HUB PAULISTA),16,3,49.82,20.29,34.3,04543-011,BAIXA,Plástico,0.5,72.0,188.87,25.0
02-01-2020,14:00,LED BARRA FUNDA,551,3,1656.98,672.99,998.41,01136-000,BAIXA,Papel,0.8,81.0,348.97,30.0
02-01-2020,13:30,CIDADE VIVA OFFICES,459,3,1379.7,560.76,897.1,03317-000,BAIXA,Plástico,1.1,87.0,492.3,43.0
02-01-2020,15:30,BRISA DA MATA,159,3,480.35,195.48,329.06,08122-600,BAIXA,Vidro,0.5,65.0,237.22,20.0
02-01-2020,11:00,FIT BOSQUE ITAQUERA,257,3,774.18,314.74,349.26,08260-000,ALTA,Plástico,0.9,74.0,297.24,28.0
02-01-2020,12:45,TORRE DE TAVORA,40,3,123.29,50.15,46.98,04075-010,ALTA,Papelão,0.4,79.0,199.74,23.0
02-01-2020,08:30,VIDA BELA,960,3,2899.04,1176.34,1095.7,03118-001,ALTA,Papel,1.6,92.0,591.73,45.0
02-01-2020,09:15,EDÍFICIO PAULICEIA E SÃO CARLOS DO PINHAL,240,3,724.58,294.63,291.75,01310-300,ALTA,Vidro,0.8,81.0,343.59,30.0
02-01-2020,10:00,VARANDA BOTANIC,138,3,417.97,169.99,179.14,05543-060,ALTA,Plástico,0.6,75.0,226.96,25.0
02-01-2020,08:00,CONDOMÍNIO RESIDENCIAL GOLF PARK,144,3,437.85,177.98,229.08,04038-001,BAIXA,Orgânico,1.1,88.0,340.47,38.0
02-01-2020,11:30,CONDOMÍNIO PATEO ANDALUZ,199,3,594.76,241.85,208.84,04054-011,ALTA,Papelão,0.9,84.0,267.73,33.0
02-01-2020,14:45,CONDOMÍNIO RESIDENCIAL FLAMBOYANT,216,3,652.14,265.31,391.79,06038-310,BAIXA,Papel,1.3,91.0,461.98,43.0
02-01-2020,09:00,INNOVA III & IV,282,3,1826.47,726.64,1180.13,04211-320,BAIXA,Orgânico,0.9,70.0,370.84,35.0
02-01-2020,12:00,MAGNUM RESIDENCIAL,584,3,1772.19,672.85,602.78,05085-010,ALTA,Papel,0.7,75.0,325.43,30.0
02-01-2020,09:45,EDIFÍCIO LINA JARDINS,30,3,1802.36,742.03,1048.76,01415-001,BAIXA,Vidro,0.8,80.0,492.98,35.0
02-01-2020,13:00,CONDOMÍNIO RESIDENCIAL ARICANDUVA,520,3,1549.81,616.72,537.31,03978-160,ALTA,Plástico,1.2,90.0,382.19,40.0
02-01-2020,14:30,HELLO VILA MARIANA,196,3,1878.21,721.92,595.9,04101-000,BAIXA,Orgânico,1.0,85.0,455.78,35.0
02-01-2020,08:30,RESIDENCIAL TIETÊ,228,3,1682.09,679.71,576.31,03026-000,ALTA,Papel,0.6,70.0,374.62,30.0
02-01-2020,09:15,EASY CIDADE UNIVERSITÁRIA,330,3,1864.8,713.28,797.66,05366-000,ALTA,Vidro,0.5,70.0,406.54,25.0
02-01-2020,10:00,NURBAN PINHEIROS,103,3,1725.69,672.02,533.32,05423-010,ALTA,Vidro,0.7,75.0,277.04,30.0
02-01-2020,11:45,UPPER SÃO CAETANO,124,3,1624.73,624.81,935.42,09530-001,BAIXA,Papel,0.6,70.0,421.09,25.0
02-01-2020,14:00,BE URBAN METRÔ BROOKLIN,203,3,1882.32,728.46,1108.52,04705-000,BAIXA,Vidro,0.9,80.0,568.24,35.0
02-01-2020,13:30,PÁTIO MONDRIAN,137,3,1785.23,704.12,776.25,04793-100,ALTA,Plástico,0.8,75.0,461.73,30.0
02-01-2020,12:15,CONDOMÍNIO DEZ EUCALIPTO,300,3,1627.9,610.95,520.19,06278-080,ALTA,Papelão,0.6,70.0,387.1,25.0
02-01-2020,08:45,PORTAL DAS NAÇÕES,192,3,1801.55,705.27,682.76,06223-080,BAIXA,Orgânico,0.5,65.0,436.98,30.0
02-01-2020,10:30,SPAZIO CACHOEIRA DA NASCENTE,288,3,1773.78,703.64,986.32,06765-220,BAIXA,Papel,0.8,75.0,334.36,30.0
02-01-2020,12:45,SPAZIO IBIRAPUERA,288,3,1808.93,718.05,942.16,04022-020,BAIXA,Vidro,0.7,70.0,387.07,30.0
02-01-2020,14:15,SPAZIO INTERLAGOS,288,3,1646.98,626.74,517.18,04822-090,ALTA,Plástico,1.1,85.0,367.1,35.0
02-01-2020,13:00,SPAZIO PINHEIROS,288,3,1884.2,726.68,1074.86,04561-010,BAIXA,Orgânico,0.9,75.0,539.67,30.0
02-01-2020,09:30,RECANTO DOS PÁSSAROS,263,3,1799.86,710.23,998.58,03193-005,BAIXA,Papelão,0.7,70.0,398.21,30.0
02-01-2020,11:15,PAÇO DAS FLORES,92,3,1628.74,606.32,654.84,04826-190,ALTA,Vidro,0.4,60.0,363.83,25.0
02-01-2020,10:45,PROVENCE APPARTAMENTS,84,3,1835.29,721.89,1271.46,04543-010,BAIXA,Plástico,0.7,75.0,632.16,30.0
03-01-2020,08:30,FLEX I,537,3,1690.24,685.28,885.17,04538-132,BAIXA,Vidro,0.7,75.0,313.87,30.0
03-01-2020,09:15,FLEX III,537,3,1628.17,661.24,625.3,04538-133,ALTA,Plástico,1.2,90.0,462.41,35.0
03-01-2020,10:00,ALTOS DO BUTANTÃ,432,3,1321.23,536.43,518.07,05359-001,BAIXA,Orgânico,0.9,70.0,315.26,25.0
03-01-2020,08:00,EASY LIFE,257,3,786.51,319.81,297.77,06764-170,ALTA,Papelão,0.6,80.0,318.15,30.0
03-01-2020,11:30,CONDOMINIO BANDEIRANTES,609,3,1850.35,751.46,829.71,06705-300,ALTA,Plástico,1.1,85.0,563.53,40.0
03-01-2020,14:45,SKY HOUSE,230,3,700.78,284.7,463.02,03141-060,BAIXA,Vidro,0.7,75.0,378.74,30.0
03-01-2020,10:30,PLAZA MAYOR,358,3,1086.17,441.36,379.58,05303-020,ALTA,Papel,1.0,80.0,315.68,35.0
03-01-2020,13:15,MAXI PIRITUBA,223,3,679.91,276.6,227.89,02936-001,ALTA,Plástico,0.8,75.0,263.44,30.0
03-01-2020,09:45,EDIFICIO JOSÉ MARTINS (HUB PAULISTA),16,3,51.59,20.97,30.96,04543-011,BAIXA,Papelão,0.5,70.0,210.87,25.0
03-01-2020,14:00,LED BARRA FUNDA,551,3,1636.71,664.42,906.18,01136-000,BAIXA,Plástico,0.8,75.0,580.62,30.0
03-01-2020,13:30,CIDADE VIVA OFFICES,459,3,1402.48,569.47,493.86,03317-000,BAIXA,Orgânico,1.2,85.0,426.2,40.0
03-01-2020,15:30,BRISA DA MATA,159,3,468.9,190.6,207.64,08122-600,ALTA,Papel,0.4,60.0,241.44,20.0
03-01-2020,11:00,FIT BOSQUE ITAQUERA,257,3,789.06,320.35,239.52,08260-000,ALTA,Vidro,0.9,70.0,316.9,25.0
03-01-2020,12:45,TORRE DE TAVORA,40,3,126.54,51.46,62.04,04075-010,ALTA,Plástico,0.4,75.0,197.23,20.0
03-01-2020,08:30,VIDA BELA,960,3,2917.62,1183.12,1814.88,03118-001,BAIXA,Orgânico,1.4,90.0,975.66,35.0
03-01-2020,09:15,EDÍFICIO PAULICEIA E SÃO CARLOS DO PINHAL,240,3,729.02,296.33,237.07,01310-300,ALTA,Papelão,0.8,80.0,280.8,30.0
03-01-2020,10:00,VARANDA BOTANIC,138,3,420.49,170.99,157.26,05543-060,ALTA,Plástico,0.7,70.0,235.05,25.0
03-01-2020,08:00,CONDOMÍNIO RESIDENCIAL GOLF PARK,144,3,439.56,178.68,255.41,04038-001,BAIXA,Orgânico,0.9,85.0,286.79,30.0
03-01-2020,11:30,CONDOMÍNIO PATEO ANDALUZ,199,3,604.79,245.7,271.1,04054-011,ALTA,Papel,0.7,80.0,335.6,25.0
03-01-2020,14:45,CONDOMÍNIO RESIDENCIAL FLAMBOYANT,216,3,657.41,267.03,248.69,06038-310,ALTA,Plástico,1.1,85.0,314.02,35.0
03-01-2020,09:00,INNOVA III & IV,282,3,1745.92,703.31,786.3,04211-320,ALTA,Plástico,0.9,75.0,418.6,35.0
03-01-2020,12:00,MAGNUM RESIDENCIAL,584,3,1672.17,658.82,706.8,05085-010,BAIXA,Orgânico,0.6,70.0,470.72,30.0
03-01-2020,09:45,EDIFÍCIO LINA JARDINS,30,3,1792.56,730.91,709.7,01415-001,ALTA,Vidro,0.7,75.0,427.24,35.0
03-01-2020,13:00,CONDOMÍNIO RESIDENCIAL ARICANDUVA,520,3,1565.43,621.57,480.39,03978-160,ALTA,Papel,1.1,85.0,324.31,40.0
03-01-2020,14:30,HELLO VILA MARIANA,196,3,1834.79,705.12,1147.94,04101-000,BAIXA,Papel,1.0,80.0,488.88,35.0
03-01-2020,08:30,RESIDENCIAL TIETÊ,228,3,1652.04,666.55,966.94,03026-000,BAIXA,Plástico,0.6,70.0,340.06,30.0
03-01-2020,09:15,EASY CIDADE UNIVERSITÁRIA,330,3,1855.7,712.33,1111.36,05366-000,BAIXA,Vidro,0.5,70.0,621.3,25.0
03-01-2020,10:00,NURBAN PINHEIROS,103,3,1694.92,659.62,579.49,05423-010,ALTA,Plástico,0.8,75.0,295.85,30.0
03-01-2020,11:45,UPPER SÃO CAETANO,124,3,1618.79,621.42,550.06,09530-001,BAIXA,Orgânico,0.6,70.0,320.01,25.0
03-01-2020,14:00,BE URBAN METRÔ BROOKLIN,203,3,1863.24,719.63,847.93,04705-000,ALTA,Vidro,1.0,80.0,490.66,35.0
03-01-2020,13:30,PÁTIO MONDRIAN,137,3,1779.16,701.84,845.19,04793-100,ALTA,Papelão,0.7,75.0,403.78,30.0
03-01-2020,12:15,CONDOMÍNIO DEZ EUCALIPTO,300,3,1631.85,613.77,879.17,06278-080,BAIXA,Papelão,0.6,70.0,451.32,25.0
03-01-2020,08:45,PORTAL DAS NAÇÕES,192,3,1797.45,701.93,605.2,06223-080,BAIXA,Orgânico,0.5,65.0,338.79,30.0
03-01-2020,10:30,SPAZIO CACHOEIRA DA NASCENTE,288,3,1744.61,694.92,913.61,06765-220,BAIXA,Vidro,0.8,75.0,566.05,30.0
03-01-2020,12:45,SPAZIO IBIRAPUERA,288,3,1800.64,710.86,609.52,04022-020,ALTA,Vidro,0.7,70.0,522.34,30.0
03-01-2020,14:15,SPAZIO INTERLAGOS,288,3,1632.14,620.41,1003.72,04822-090,BAIXA,Orgânico,1.1,85.0,484.87,35.0
03-01-2020,13:00,SPAZIO PINHEIROS,288,3,1834.09,711.97,561.41,04561-010,ALTA,Plástico,0.9,75.0,433.75,30.0
03-01-2020,09:30,RECANTO DOS PÁSSAROS,263,3,1786.38,706.33,1090.88,03193-005,BAIXA,Papelão,0.7,70.0,374.73,30.0
03-01-2020,11:15,PAÇO DAS FLORES,92,3,1637.85,610.11,914.05,04826-190,BAIXA,Papelão,0.4,60.0,398.08,25.0
03-01-2020,10:45,PROVENCE APPARTAMENTS,84,3,1838.9,718.92,1173.27,04543-010,BAIXA,Vidro,0.7,75.0,541.76,30.0
04-01-2020,08:30,FLEX I,537,3,1672.56,678.91,969.36,04538-132,BAIXA,Plástico,0.9,82.0,481.8,33.0
04-01-2020,09:15,FLEX III,537,3,1645.27,670.12,885.61,04538-133,BAIXA,Orgânico,0.7,73.0,548.5,28.0
04-01-2020,10:00,ALTOS DO BUTANTÃ,432,3,1309.84,531.6,780.72,05359-001,BAIXA,Vidro,1.3,89.0,456.85,38.0
04-01-2020,08:00,EASY LIFE,257,3,775.92,315.41,275.71,06764-170,ALTA,Papelão,0.6,53.0,206.95,23.0
04-01-2020,11:30,CONDOMINIO BANDEIRANTES,609,3,1832.18,744.93,1114.22,06705-300,BAIXA,Plástico,1.1,87.0,490.23,43.0
04-01-2020,14:45,SKY HOUSE,230,3,694.19,282.35,274.62,03141-060,BAIXA,Orgânico,0.8,78.0,310.64,35.0
04-01-2020,10:30,PLAZA MAYOR,358,3,1077.79,437.71,661.82,05303-020,BAIXA,Papel,1.5,93.0,405.53,40.0
04-01-2020,13:15,MAXI PIRITUBA,223,3,669.78,271.89,274.08,02936-001,ALTA,Plástico,0.8,78.0,330.23,30.0
04-01-2020,09:45,EDIFICIO JOSÉ MARTINS (HUB PAULISTA),16,3,48.29,19.62,28.21,04543-011,BAIXA,Vidro,0.6,70.0,210.32,20.0
04-01-2020,14:00,LED BARRA FUNDA,551,3,1658.74,673.99,1100.31,01136-000,BAIXA,Papelão,0.9,83.0,381.45,30.0
04-01-2020,13:30,CIDADE VIVA OFFICES,459,3,1382.36,561.72,900.9,03317-000,BAIXA,Papel,1.2,89.0,594.48,40.0
04-01-2020,15:30,BRISA DA MATA,159,3,480.16,194.94,155.47,08122-600,ALTA,Plástico,0.5,65.0,218.87,20.0
04-01-2020,11:00,FIT BOSQUE ITAQUERA,257,3,774.48,314.12,259.65,08260-000,BAIXA,Orgânico,0.9,82.0,321.58,30.0
04-01-2020,12:45,TORRE DE TAVORA,40,3,121.29,49.29,41.29,04075-010,ALTA,Vidro,0.4,75.0,214.41,25.0
04-01-2020,08:30,VIDA BELA,960,3,2887.52,1172.73,1507.9,03118-001,BAIXA,Plástico,1.2,89.0,749.06,35.0
04-01-2020,09:15,EDÍFICIO PAULICEIA E SÃO CARLOS DO PINHAL,240,3,720.47,292.6,460.65,01310-300,BAIXA,Papelão,0.7,73.0,521.64,28.0
04-01-2020,10:00,VARANDA BOTANIC,138,3,415.41,168.53,252.65,05543-060,BAIXA,Orgânico,0.4,65.0,207.31,23.0
04-01-2020,08:00,CONDOMÍNIO RESIDENCIAL GOLF PARK,144,3,433.41,175.91,257.09,04038-001,BAIXA,Vidro,1.0,85.0,349.97,35.0
04-01-2020,11:30,CONDOMÍNIO PATEO ANDALUZ,199,3,599.28,243.57,412.9,04054-011,BAIXA,Papelão,0.9,83.0,408.16,40.0
04-01-2020,14:45,CONDOMÍNIO RESIDENCIAL FLAMBOYANT,216,3,652.82,265.16,259.13,06038-310,ALTA,Papel,1.5,93.0,410.71,45.0
04-01-2020,09:00,INNOVA III & IV,282,3,1698.33,671.72,586.66,04211-320,ALTA,Papel,0.9,70.0,339.7,35.0
04-01-2020,12:00,MAGNUM RESIDENCIAL,584,3,1752.86,680.95,674.21,05085-010,ALTA,Plástico,0.7,75.0,334.58,30.0
04-01-2020,09:45,EDIFÍCIO LINA JARDINS,30,3,1679.22,665.89,928.73,01415-001,BAIXA,Vidro,0.8,80.0,423.73,35.0
04-01-2020,13:00,CONDOMÍNIO RESIDENCIAL ARICANDUVA,520,3,1546.77,625.19,924.97,03978-160,BAIXA,Papelão,1.2,90.0,529.52,40.0
04-01-2020,14:30,HELLO VILA MARIANA,196,3,1725.49,661.42,1162.94,04101-000,BAIXA,Orgânico,1.0,85.0,660.51,35.0
04-01-2020,08:30,RESIDENCIAL TIETÊ,228,3,1830.52,721.84,753.33,03026-000,ALTA,Plástico,0.6,70.0,380.21,30.0
04-01-2020,09:15,EASY CIDADE UNIVERSITÁRIA,330,3,1852.06,712.51,952.37,05366-000,BAIXA,Vidro,0.5,70.0,378.38,25.0
04-01-2020,10:00,NURBAN PINHEIROS,103,3,1656.92,641.09,1080.87,05423-010,BAIXA,Papel,0.7,75.0,395.66,30.0
04-01-2020,11:45,UPPER SÃO CAETANO,124,3,1619.76,627.83,515.02,09530-001,ALTA,Vidro,0.6,70.0,259.37,25.0
04-01-2020,14:00,BE URBAN METRÔ BROOKLIN,203,3,1846.02,716.59,832.98,04705-000,BAIXA,Orgânico,0.9,80.0,601.59,35.0
04-01-2020,13:30,PÁTIO MONDRIAN,137,3,1762.35,694.28,1124.32,04793-100,BAIXA,Papelão,0.8,75.0,388.07,30.0
04-01-2020,12:15,CONDOMÍNIO DEZ EUCALIPTO,300,3,1680.99,634.85,823.31,06278-080,ALTA,Papel,0.6,70.0,333.97,25.0
04-01-2020,08:45,PORTAL DAS NAÇÕES,192,3,1726.61,672.16,611.65,06223-080,BAIXA,Orgânico,0.5,65.0,255.45,30.0
04-01-2020,10:30,SPAZIO CACHOEIRA DA NASCENTE,288,3,1639.41,627.68,505.55,06765-220,ALTA,Vidro,0.8,75.0,330.87,30.0
04-01-2020,12:45,SPAZIO IBIRAPUERA,288,3,1738.05,676.41,1000.2,04022-020,BAIXA,Vidro,0.7,70.0,353.09,30.0
04-01-2020,14:15,SPAZIO INTERLAGOS,288,3,1599.83,605.47,569.71,04822-090,ALTA,Plástico,1.1,85.0,400.45,35.0
04-01-2020,13:00,SPAZIO PINHEIROS,288,3,1865.92,723.09,679.44,04561-010,BAIXA,Orgânico,0.9,75.0,399.4,30.0
04-01-2020,09:30,RECANTO DOS PÁSSAROS,263,3,1806.24,708.85,1097.58,03193-005,BAIXA,Papelão,0.7,70.0,477.74,30.0
04-01-2020,11:15,PAÇO DAS FLORES,92,3,1578.64,596.78,559.14,04826-190,ALTA,Vidro,0.4,60.0,313.27,25.0
04-01-2020,10:45,PROVENCE APPARTAMENTS,84,3,1827.31,710.69,1188.25,04543-010,BAIXA,Plástico,0.7,75.0,460.54,30.0
05-01-2020,08:30,FLEX I,537,3,1672.56,678.91,1095.42,04538-132,BAIXA,Plástico,0.9,82.0,577.15,33.0
05-01-2020,09:15,FLEX III,537,3,1645.27,670.12,759.18,04538-133,BAIXA,Orgânico,0.7,73.0,501.23,28.0
05-01-2020,10:00,ALTOS DO BUTANTÃ,432,3,1309.84,531.6,670.01,05359-001,BAIXA,Vidro,1.3,89.0,459.52,38.0
05-01-2020,08:00,EASY LIFE,257,3,775.92,315.41,450.11,06764-170,BAIXA,Papelão,0.6,53.0,338.51,23.0
05-01-2020,11:30,CONDOMINIO BANDEIRANTES,609,3,1832.18,744.93,794.42,06705-300,ALTA,Plástico,1.1,87.0,410.84,43.0
05-01-2020,14:45,SKY HOUSE,230,3,694.19,282.35,322.79,03141-060,BAIXA,Orgânico,0.8,78.0,260.71,35.0
05-01-2020,10:30,PLAZA MAYOR,358,3,1077.79,437.71,372.49,05303-020,ALTA,Papel,1.5,93.0,419.73,40.0
05-01-2020,13:15,MAXI PIRITUBA,223,3,669.78,271.89,421.68,02936-001,BAIXA,Plástico,0.8,78.0,309.13,30.0
05-01-2020,09:45,EDIFICIO JOSÉ MARTINS (HUB PAULISTA),16,3,48.29,19.62,28.07,04543-011,BAIXA,Vidro,0.6,70.0,206.95,20.0
05-01-2020,14:00,LED BARRA FUNDA,551,3,1658.74,673.99,1129.27,01136-000,BAIXA,Papelão,0.9,83.0,592.39,30.0
05-01-2020,13:30,CIDADE VIVA OFFICES,459,3,1382.36,561.72,461.86,03317-000,ALTA,Papel,1.2,89.0,365.72,40.0
05-01-2020,15:30,BRISA DA MATA,159,3,480.16,194.94,270.79,08122-600,BAIXA,Plástico,0.5,65.0,235.36,20.0
05-01-2020,11:00,FIT BOSQUE ITAQUERA,257,3,774.48,314.12,356.23,08260-000,BAIXA,Orgânico,0.9,82.0,346.56,30.0
05-01-2020,12:45,TORRE DE TAVORA,40,3,121.29,49.29,83.26,04075-010,BAIXA,Vidro,0.4,75.0,228.0,25.0
05-01-2020,08:30,VIDA BELA,960,3,2887.52,1172.73,1230.18,03118-001,ALTA,Plástico,1.2,89.0,721.13,35.0
05-01-2020,09:15,EDÍFICIO PAULICEIA E SÃO CARLOS DO PINHAL,240,3,720.47,292.6,373.99,01310-300,BAIXA,Papelão,0.7,73.0,281.21,28.0
05-01-2020,10:00,VARANDA BOTANIC,138,3,415.41,168.53,217.51,05543-060,BAIXA,Orgânico,0.4,65.0,227.16,23.0
05-01-2020,08:00,CONDOMÍNIO RESIDENCIAL GOLF PARK,144,3,433.41,175.91,294.12,04038-001,BAIXA,Vidro,1.0,85.0,343.99,35.0
05-01-2020,11:30,CONDOMÍNIO PATEO ANDALUZ,199,3,599.28,243.57,356.05,04054-011,BAIXA,Papelão,0.9,83.0,302.58,40.0
05-01-2020,14:45,CONDOMÍNIO RESIDENCIAL FLAMBOYANT,216,3,652.82,265.16,334.19,06038-310,BAIXA,Papel,1.5,93.0,414.82,45.0
05-01-2020,09:00,INNOVA III & IV,282,3,1756.84,696.03,732.64,04211-320,BAIXA,Orgânico,0.9,70.0,493.76,35.0
